,name,sector,industry,country,mktCap,fullTimeEmployees
3918.HK,NAGACORP,Consumer Cyclical,Resorts & Casinos,Cambodia,36117200896,8371
3919.HK,error,,,,,
3928.HK,error,,,,,
3933.HK,UNITED LAB,Healthcare,Drug Manufacturers—General,Hong Kong,11704881152,13000
3938.HK,error,,,,,
3939.HK,error,,,,,
3948.HK,YITAI COAL,Energy,Thermal Coal,China,3990456064,5335
3958.HK,DFZQ,Financial Services,Capital Markets,China,68109922304,6339
3963.HK,error,,,,,
3966.HK,error,,,,,
3968.HK,CM BANK,Financial Services,Banks—Regional,China,1591523016704,90867
3969.HK,CHINA CRSC,Industrials,Railroads,China,64090615808,20636
3978.HK,error,,,,,
3983.HK,CHINA BLUECHEM,Basic Materials,Agricultural Inputs,China,10142000128,4719
3988.HK,BANK OF CHINA,Financial Services,Banks—Diversified,China,1079958044672,309084
3989.HK,CAPITAL ENV,Industrials,Waste Management,Hong Kong,2072731392,4847
3990.HK,MIDEA REAL EST,Real Estate,Real Estate Services,China,21805699072,15252
3991.HK,error,,,,,
3992.HK,error,,,,,
3993.HK,CMOC,Basic Materials,Other Industrial Metals & Mining,China,143832006656,10956
3996.HK,CH ENERGY ENG,Industrials,Engineering & Construction,China,23716116480,117830
3997.HK,error,,,,,
3998.HK,BOSIDENG,Consumer Cyclical,Apparel Manufacturing,Hong Kong,42641829888,8029
3999.HK,error,,,,,
4332.HK,error,,,,,
4333.HK,error,,,,,
4335.HK,error,,,,,
4336.HK,error,,,,,
4337.HK,error,,,,,
4338.HK,error,,,,,
4604.HK,delisted,,,,,
4605.HK,delisted,,,,,
4606.HK,error,,,,,
4607.HK,error,,,,,
4608.HK,delisted,,,,,
4609.HK,error,,,,,
4610.HK,delisted,,,,,
4611.HK,delisted,,,,,
4612.HK,delisted,,,,,
4613.HK,delisted,,,,,
4614.HK,delisted,,,,,
4615.HK,error,,,,,
4616.HK,error,,,,,
4617.HK,delisted,,,,,
4618.HK,delisted,,,,,
4619.HK,delisted,,,,,
6030.HK,CITIC SEC,Financial Services,Capital Markets,China,347299020800,19012
6033.HK,error,,,,,
6036.HK,error,,,,,
6038.HK,error,,,,,
6049.HK,error,,,,,
6055.HK,CTIHK,Consumer Defensive,Tobacco,Hong Kong,12242736128,29
6058.HK,error,,,,,
6060.HK,ZA ONLINE,Financial Services,Insurance—Property & Casualty,China,67611262976,3033
6063.HK,error,,,,,
6066.HK,CSC,Financial Services,Capital Markets,China,70353264640,9994
6068.HK,WISDOM EDU INTL,Consumer Defensive,Education & Training Services,China,8560129024,6594
6069.HK,SHENGYE CAPITAL,Financial Services,Credit Services,China,5731966976,287
6078.HK,error,,,,,
6080.HK,error,,,,,
6083.HK,error,,,,,
6088.HK,FIT HON TENG,Technology,Electronic Components,Taiwan,16473577472,55402
6090.HK,CENTURION CORP,Consumer Cyclical,Lodging,Singapore,1699952768,393
6093.HK,error,,,,,
6098.HK,CG SERVICES,Real Estate,Real Estate Services,China,243435601920,153585
6099.HK,CMSC,Financial Services,Capital Markets,China,180508999680,9230
6100.HK,TONGDAO LIEPIN,Industrials,Staffing & Employment Services,China,13583980544,4839
6108.HK,error,,,,,
6110.HK,error,,,,,
6111.HK,DAFA PPT,Real Estate,Real Estate—Development,China,5298432000,1029
6113.HK,error,,,,,
6116.HK,error,,,,,
6117.HK,error,,,,,
6118.HK,error,,,,,
6119.HK,error,,,,,
6122.HK,JIUTAI RCB,Financial Services,Banks—Regional,China,11554222080,6419
6123.HK,YTO EXP INTL,Industrials,Integrated Freight & Logistics,Hong Kong,2121308416,893
6128.HK,error,,,,,
6133.HK,error,,,,,
6136.HK,KANGDA ENV,Utilities,Utilities—Regulated Water,China,1402349056,2448
6138.HK,HARBIN BANK,Financial Services,Banks—Regional,China,10885644288,8622
6139.HK,error,,,,,
6158.HK,ZHENRO PPT,Real Estate,Real Estate—Development,China,22887061504,1902
6160.HK,BEIGENE,Healthcare,Biotechnology,China,249153093632,5300
6161.HK,error,,,,,
6162.HK,error,,,,,
6163.HK,error,,,,,
6166.HK,CHINA VAST,Real Estate,Real Estate—Development,China,5003256832,838
6168.HK,error,,,,,
6169.HK,YUHUA EDU,Consumer Defensive,Education & Training Services,China,24727382016,6965
6178.HK,EB SECURITIES,Financial Services,Capital Markets,Hong Kong,74539556864,9240
6182.HK,error,,,,,
6183.HK,CH GREENFRESH,Consumer Defensive,Packaged Foods,China,122949904,830
6185.HK,CANSINOBIO-B,Healthcare,Drug Manufacturers—Specialty & Generic,China,123516452864,726
6186.HK,error,,,,,
6188.HK,error,,,,,
6189.HK,error,,,,,
6190.HK,error,,,,,
6193.HK,error,,,,,
6196.HK,BANKOFZHENGZHOU,Financial Services,Banks—Regional,China,29118275584,5331
6198.HK,QINGDAO PORT,Industrials,Marine Shipping,China,47225253888,8981
6199.HK,error,,,,,
6288.HK,error,,,,,
6805.HK,error,,,,,
6806.HK,error,,,,,
6808.HK,SUNART RETAIL,Consumer Cyclical,Department Stores,Hong Kong,68304248832,
6811.HK,error,,,,,
6812.HK,error,,,,,
6816.HK,error,,,,,
6818.HK,CEB BANK,Financial Services,Banks—Regional,China,228687544320,46952
6819.HK,error,,,,,
6820.HK,FRIENDTIMES,Communication Services,Electronic Gaming & Multimedia,China,6738826240,1456
6822.HK,error,,,,,
6823.HK,HKT-SS,Communication Services,Telecom Services,Hong Kong,85454340096,16300
6826.HK,HAOHAI BIOTEC,Healthcare,Biotechnology,China,25237127168,1374
6828.HK,BG BLUE SKY,Utilities,Utilities—Regulated Gas,Hong Kong,1506387584,1025
6829.HK,error,,,,,
6830.HK,HUAZHONG IN-V,Consumer Cyclical,Auto Parts,China,4246056192,2922
6833.HK,error,,,,,
6836.HK,TIANYUN INT'L,Consumer Defensive,Packaged Foods,China,1603037696,645
6837.HK,HAITONG SEC,Financial Services,Capital Markets,China,151882514432,11282
6838.HK,error,,,,,
6839.HK,YUNNAN WATER,Utilities,Utilities—Regulated Water,China,1336395136,7007
6855.HK,error,,,,,
6858.HK,HONMAGOLF,Consumer Cyclical,Leisure,Japan,2598204160,787
6860.HK,error,,,,,
6862.HK,HAIDILAO,Consumer Cyclical,Restaurants,China,266854973440,131084
6865.HK,FLAT GLASS,Industrials,Building Products & Equipment,China,68229840896,3440
6866.HK,error,,,,,
6868.HK,TENFU,Consumer Defensive,Packaged Foods,China,5974044672,3743
6869.HK,YOFC,Technology,Communication Equipment,China,14533574656,2879
6877.HK,error,,,,,
6878.HK,DIFFER GROUP,Financial Services,Credit Services,China,6775886848,406
6880.HK,error,,,,,
6881.HK,CGS,Financial Services,Capital Markets,China,94250131456,11545
6882.HK,error,,,,,
6885.HK,JINMA ENERGY,Basic Materials,Coking Coal,China,1884681856,1850
6886.HK,HTSC,Financial Services,Capital Markets,China,159569166336,7375
6888.HK,error,,,,,
6889.HK,DYNAM JAPAN,Consumer Cyclical,Gambling,Japan,5193636864,17077
6890.HK,error,,,,,
6893.HK,error,,,,,
6896.HK,GOLDEN THROAT,Healthcare,Drug Manufacturers—Specialty & Generic,China,1323350528,938
6898.HK,error,,,,,
6899.HK,OURGAME,Communication Services,Electronic Gaming & Multimedia,China,797571968,148
6908.HK,error,,,,,
6918.HK,error,,,,,
6919.HK,error,,,,,
6928.HK,error,,,,,
6933.HK,error,,,,,
6958.HK,error,,,,,
6966.HK,error,,,,,
6968.HK,error,,,,,
6969.HK,SMOORE INTL,Consumer Defensive,Tobacco,China,326945800192,14273
6978.HK,error,,,,,
8001.HK,error,,,,,
8003.HK,error,,,,,
8005.HK,error,,,,,
8006.HK,error,,,,,
8007.HK,error,,,,,
8009.HK,error,,,,,
8011.HK,error,,,,,
8013.HK,error,,,,,
8017.HK,error,,,,,
8018.HK,error,,,,,
8019.HK,error,,,,,
8020.HK,error,,,,,
8021.HK,error,,,,,
8022.HK,error,,,,,
8023.HK,error,,,,,
8025.HK,error,,,,,
8026.HK,error,,,,,
8027.HK,error,,,,,
8028.HK,error,,,,,
8029.HK,error,,,,,
8030.HK,error,,,,,
8031.HK,error,,,,,
8032.HK,error,,,,,
8033.HK,error,,,,,
8035.HK,error,,,,,
8036.HK,error,,,,,
8037.HK,error,,,,,
8039.HK,error,,,,,
8040.HK,error,,,,,
8041.HK,error,,,,,
8042.HK,error,,,,,
8043.HK,error,,,,,
8045.HK,error,,,,,
8047.HK,error,,,,,
8048.HK,error,,,,,
8049.HK,error,,,,,
8050.HK,error,,,,,
8051.HK,error,,,,,
8052.HK,error,,,,,
8053.HK,error,,,,,
8055.HK,error,,,,,
8056.HK,error,,,,,
8057.HK,error,,,,,
8059.HK,error,,,,,
8060.HK,error,,,,,
8062.HK,error,,,,,
8063.HK,error,,,,,
8065.HK,error,,,,,
8066.HK,error,,,,,
8067.HK,error,,,,,
8069.HK,error,,,,,
8070.HK,error,,,,,
8071.HK,error,,,,,
8072.HK,error,,,,,
8073.HK,error,,,,,
8075.HK,error,,,,,
8076.HK,error,,,,,
8078.HK,error,,,,,
8079.HK,error,,,,,
8080.HK,error,,,,,
8081.HK,error,,,,,
8082.HK,error,,,,,
8083.HK,CHINA YOUZAN,Technology,Software—Application,Hong Kong,43322597376,3603
8085.HK,error,,,,,
8086.HK,error,,,,,
8087.HK,error,,,,,
8088.HK,error,,,,,
8089.HK,error,,,,,
8090.HK,error,,,,,
8091.HK,error,,,,,
8092.HK,error,,,,,
8093.HK,error,,,,,
8095.HK,error,,,,,
8096.HK,error,,,,,
8098.HK,error,,,,,
8100.HK,error,,,,,
8101.HK,error,,,,,
8103.HK,error,,,,,
8106.HK,error,,,,,
8107.HK,error,,,,,
8108.HK,error,,,,,
8109.HK,error,,,,,
8111.HK,error,,,,,
8112.HK,error,,,,,
8113.HK,error,,,,,
8115.HK,error,,,,,
8116.HK,error,,,,,
8117.HK,error,,,,,
8118.HK,error,,,,,
8119.HK,error,,,,,
8120.HK,error,,,,,
8121.HK,error,,,,,
8123.HK,error,,,,,
8125.HK,error,,,,,
8126.HK,error,,,,,
8128.HK,error,,,,,
8130.HK,error,,,,,
8131.HK,error,,,,,
8132.HK,error,,,,,
8133.HK,error,,,,,
8135.HK,error,,,,,
8136.HK,error,,,,,
8137.HK,HONBRIDGE,Industrials,Electrical Equipment & Parts,Hong Kong,4966089216,238
8139.HK,error,,,,,
8140.HK,error,,,,,
8142.HK,error,,,,,
8143.HK,error,,,,,
8146.HK,error,,,,,
8147.HK,error,,,,,
8148.HK,error,,,,,
8149.HK,error,,,,,
8150.HK,error,,,,,
8151.HK,error,,,,,
8152.HK,error,,,,,
8153.HK,error,,,,,
8155.HK,error,,,,,
8156.HK,error,,,,,
8158.HK,error,,,,,
8159.HK,error,,,,,
8160.HK,error,,,,,
8161.HK,error,,,,,
8162.HK,error,,,,,
8163.HK,error,,,,,
8165.HK,error,,,,,
8166.HK,error,,,,,
8167.HK,NEO TELEMEDIA,Communication Services,Telecom Services,Hong Kong,1809214208,242
8168.HK,error,,,,,
8169.HK,error,,,,,
8170.HK,error,,,,,
8171.HK,error,,,,,
8172.HK,error,,,,,
8173.HK,error,,,,,
8175.HK,error,,,,,
8176.HK,error,,,,,
8178.HK,error,,,,,
8179.HK,error,,,,,
8181.HK,error,,,,,
8186.HK,error,,,,,
8187.HK,error,,,,,
8188.HK,error,,,,,
8189.HK,error,,,,,
8190.HK,error,,,,,
8191.HK,error,,,,,
8192.HK,error,,,,,
8193.HK,error,,,,,
8195.HK,error,,,,,
8196.HK,error,,,,,
8198.HK,error,,,,,
8200.HK,error,,,,,
8201.HK,error,,,,,
8202.HK,error,,,,,
8203.HK,error,,,,,
8205.HK,error,,,,,
8206.HK,error,,,,,
8207.HK,error,,,,,
8208.HK,error,,,,,
8210.HK,error,,,,,
8211.HK,error,,,,,
8213.HK,error,,,,,
8215.HK,error,,,,,
8216.HK,error,,,,,
8217.HK,error,,,,,
8218.HK,error,,,,,
8219.HK,error,,,,,
8220.HK,error,,,,,
8221.HK,error,,,,,
8222.HK,error,,,,,
8223.HK,error,,,,,
8225.HK,error,,,,,
8226.HK,error,,,,,
8227.HK,error,,,,,
8228.HK,error,,,,,
8229.HK,error,,,,,
8230.HK,error,,,,,
8231.HK,error,,,,,
8232.HK,error,,,,,
8235.HK,error,,,,,
8236.HK,error,,,,,
8237.HK,error,,,,,
8238.HK,error,,,,,
8239.HK,error,,,,,
8241.HK,error,,,,,
8242.HK,error,,,,,
8245.HK,error,,,,,
8246.HK,error,,,,,
8247.HK,error,,,,,
8249.HK,error,,,,,
8250.HK,error,,,,,
8255.HK,error,,,,,
8256.HK,error,,,,,
8257.HK,error,,,,,
8258.HK,error,,,,,
8259.HK,error,,,,,
8260.HK,error,,,,,
8262.HK,error,,,,,
8265.HK,error,,,,,
8266.HK,error,,,,,
8267.HK,error,,,,,
8268.HK,error,,,,,
8269.HK,error,,,,,
8270.HK,error,,,,,
8271.HK,error,,,,,
8272.HK,error,,,,,
8275.HK,error,,,,,
8277.HK,error,,,,,
8279.HK,AGTECH HOLDINGS,Technology,Software—Application,Hong Kong,3618412800,292
