,name,sector,industry,country,mktCap,fullTimeEmployees
BNS.PR.F.TO,error,,,,,
BNS.PR.G.TO,error,,,,,
BNS.PR.H.TO,error,,,,,
BNS.PR.I.TO,error,,,,,
BNS.PR.Z.TO,error,,,,,
BOS.TO,AIRBOSS AMERICA J,Basic Materials,Specialty Chemicals,Canada,1087922816,1318
BPF.UN.TO,delisted,,,,,
BPO.PR.A.TO,error,,,,,
BPO.PR.C.TO,error,,,,,
BPO.PR.E.TO,error,,,,,
BPO.PR.G.TO,error,,,,,
BPO.PR.I.TO,error,,,,,
BPO.PR.N.TO,error,,,,,
BPO.PR.P.TO,error,,,,,
BPO.PR.R.TO,error,,,,,
BPO.PR.S.TO,error,,,,,
BPO.PR.T.TO,error,,,,,
BPO.PR.W.TO,error,,,,,
BPO.PR.X.TO,error,,,,,
BPO.PR.Y.TO,error,,,,,
BPRF.TO,error,,,,,
BPRF.U.TO,delisted,,,,,
BPS.PR.A.TO,error,,,,,
BPS.PR.B.TO,error,,,,,
BPS.PR.C.TO,error,,,,,
BPS.PR.U.TO,error,,,,,
BPY.UN.TO,delisted,,,,,
BR.TO,BIG ROCK BREWERY INC.,Consumer Defensive,Beverages—Brewers,Canada,38811760,
BRE.TO,BRIDGEMARQ REAL ESTATE SERVICES,Real Estate,Real Estate Services,Canada,157431920,
BREA.TO,error,,,,,
BRF.PR.A.TO,error,,,,,
BRF.PR.B.TO,error,,,,,
BRF.PR.C.TO,error,,,,,
BRF.PR.E.TO,error,,,,,
BRF.PR.F.TO,error,,,,,
BRY.TO,BRI CHEM CORP,Energy,Oil & Gas Equipment & Services,Canada,3708220,49
BSO.UN.TO,delisted,,,,,
BSX.TO,BELO SUN MINING CORP,Basic Materials,Gold,Canada,345841792,
BTB.DB.F.TO,error,,,,,
BTB.DB.G.TO,error,,,,,
BTB.DB.H.TO,error,,,,,
BTB.UN.TO,delisted,,,,,
BTE.TO,BAYTEX ENERGY CORP.,Energy,Oil & Gas E&P,Canada,752008000,
BTO.TO,B2GOLD CORP.,Basic Materials,Gold,Canada,6047792640,
BU.TO,BURCON NUTRASCIENCE CORPORATION,Consumer Defensive,Packaged Foods,Canada,506587744,21
BUA.UN.TO,delisted,,,,,
BUI.TO,BUHLER IND,Industrials,Farm & Heavy Construction Machinery,Canada,81750000,815
BXF.TO,error,,,,,
BYD.TO,BOYD GROUP SERVICES INC,Consumer Cyclical,Personal Services,Canada,4847993344,8956
BYL.TO,BAYLIN TECHNOLOGIES INC,Technology,Communication Equipment,Canada,65839500,
BYL.DB.TO,error,,,,,
CACB.TO,error,,,,,
CAE.TO,CAE INC,Industrials,Aerospace & Defense,Canada,10376070144,10000
CAGG.TO,error,,,,,
CAGS.TO,error,,,,,
CALL.TO,error,,,,,
CALL.B.TO,delisted,,,,,
CAR.UN.TO,delisted,,,,,
CARS.TO,error,,,,,
CARS.B.TO,delisted,,,,,
CARS.U.TO,delisted,,,,,
CAS.TO,CASCADES INC,Basic Materials,Paper & Paper Products,Canada,1671271552,12000
CBH.TO,error,,,,,
CBO.TO,error,,,,,
CCA.TO,COGECO COMMUNICATIONS INC,Communication Services,Telecom Services,Canada,5725903360,3740
CCL.A.TO,delisted,,,,,
CCL.B.TO,delisted,,,,,
CCM.TO,CANAGOLD RESOURCES LTD,Basic Materials,Gold,Canada,32942910,2
CCNS.TO,error,,,,,
CCO.TO,CAMECO CORP,Energy,Uranium,Canada,8338071040,
CCOR.TO,error,,,,,
CCRE.TO,error,,,,,
CCS.PR.C.TO,error,,,,,
CDAY.TO,CERIDIAN HCM HOLDINGS INC,Technology,Software—Application,United States,15678061568,5974
CDD.UN.TO,delisted,,,,,
CDLB.TO,error,,,,,
CDLB.B.TO,delisted,,,,,
CDLB.U.TO,delisted,,,,,
CDV.TO,error,,,,,
CDZ.TO,error,,,,,
CEE.TO,CENTAMIN PLC,Basic Materials,Gold,Channel Islands,2110959872,
CEF.TO,error,,,,,
CEF.U.TO,delisted,,,,,
CERV.TO,CERVUS EQUIPMENT CORPORATION,Industrials,Farm & Heavy Construction Machinery,Canada,247974944,1548
CET.TO,CATHEDRAL ENERGY SERVICES LTD.,Energy,Oil & Gas Drilling,Canada,13666888,118
CEU.TO,CES ENERGY SOLUTIONS CORP,Energy,Oil & Gas Equipment & Services,Canada,407497440,1609
CEW.TO,error,,,,,
CF.TO,CANACCORD GENUITY GROUP INC,Financial Services,Capital Markets,Canada,1090084992,2296
CF.DB.A.TO,error,,,,,
CF.PR.A.TO,error,,,,,
CF.PR.C.TO,error,,,,,
CFF.TO,CONIFEX TIMBER INC,Basic Materials,Lumber & Wood Production,Canada,89189760,270
CFLX.TO,error,,,,,
CFP.TO,CANFOR CORP,Basic Materials,Lumber & Wood Production,Canada,3148005632,7111
CFW.TO,CALFRAC WELL SERVICES LTD.,Energy,Oil & Gas Equipment & Services,Canada,144770896,
CFX.TO,CANFOR PULP PRODUCTS INC.,Basic Materials,Paper & Paper Products,Canada,602106112,1278
CG.TO,CENTERRA GOLD INC.,Basic Materials,Gold,Canada,3281054208,
CGAA.TO,error,,,,,
CGG.TO,CHINA GOLD INT RESOURCES CORP.,Basic Materials,Other Precious Metals & Mining,Canada,1320058624,2085
CGI.TO,error,,,,,
CGI.PR.D.TO,error,,,,,
CGL.TO,error,,,,,
CGL.C.TO,delisted,,,,,
CGLO.TO,error,,,,,
CGO.TO,"COGECO INC., SV",Communication Services,Telecom Services,Canada,1552984448,3740
CGR.TO,error,,,,,
CGRA.TO,error,,,,,
CGRE.TO,error,,,,,
CGX.TO,CINEPLEX INC.,Communication Services,Entertainment,Canada,792298368,10000
CGX.DB.B.TO,error,,,,,
CGXF.TO,error,,,,,
CGY.TO,CALIAN GROUP LTD,Industrials,Specialty Business Services,Canada,619634944,4400
CHB.TO,error,,,,,
CHE.DB.B.TO,error,,,,,
CHE.DB.C.TO,error,,,,,
CHE.DB.D.TO,error,,,,,
CHE.DB.E.TO,error,,,,,
CHE.DB.F.TO,error,,,,,
CHE.UN.TO,delisted,,,,,
CHNA.B.TO,delisted,,,,,
CHP.UN.TO,delisted,,,,,
CHR.TO,CHORUS AVIATION INC,Industrials,Airlines,Canada,726782848,2875
CHR.DB.A.TO,error,,,,,
CHW.TO,CHESSWOOD GROUP LIMITED,Financial Services,Credit Services,Canada,151172432,144
CIA.TO,CHAMPION IRON LIMITED,Basic Materials,Other Industrial Metals & Mining,Australia,2458387456,
CIC.TO,error,,,,,
CIF.TO,error,,,,,
CIGI.TO,COLLIERS INTERNATIONAL GROUP IN,Real Estate,Real Estate Services,Canada,5208697344,15370
CINC.TO,error,,,,,
CINC.B.TO,delisted,,,,,
CINC.U.TO,delisted,,,,,
CINF.TO,error,,,,,
CINT.TO,error,,,,,
CIQ.UN.TO,delisted,,,,,
CIU.PR.A.TO,error,,,,,
CIU.PR.C.TO,error,,,,,
CIX.TO,CI FINANCIAL CORP.,Financial Services,Asset Management,Canada,3881129984,
CJ.TO,CARDINAL ENERGY LTD,Energy,Oil & Gas E&P,Canada,359655008,
CJ.DB.TO,error,,,,,
CJ.DB.A.TO,error,,,,,
CJR.B.TO,delisted,,,,,
CJT.TO,CARGOJET INC.,Industrials,Integrated Freight & Logistics,Canada,2871655424,1237
CJT.DB.D.TO,error,,,,,
CJT.DB.E.TO,error,,,,,
CJT.DB.F.TO,error,,,,,
CKI.TO,CLARKE INC,Financial Services,Asset Management,Canada,120084104,
CKI.DB.TO,error,,,,,
CLF.TO,error,,,,,
CLG.TO,error,,,,,
CLIQ.TO,ALCANNA INC,Consumer Cyclical,Specialty Retail,Canada,313582880,
CLIQ.DB.TO,error,,,,,
CLQ.TO,CLEAN TEQ HOLDINGS LIMITED,Basic Materials,Industrial Metals & Minerals,Australia,189635504,
CLR.TO,error,,,,,
CLS.TO,"CELESTICA INC., SV",Technology,Electronic Components,Canada,1335677952,18226
CM.TO,CANADIAN IMPERIAL BANK OF COMME,Financial Services,Banks—Diversified,Canada,56057380864,43890
CM.PR.O.TO,error,,,,,
CM.PR.P.TO,error,,,,,
CM.PR.Q.TO,error,,,,,
CM.PR.R.TO,error,,,,,
CM.PR.S.TO,error,,,,,
CM.PR.T.TO,error,,,,,
CM.PR.Y.TO,error,,,,,
CMAG.TO,error,,,,,
CMAR.TO,error,,,,,
CMAR.U.TO,delisted,,,,,
CMCE.TO,error,,,,,
CMG.TO,COMPUTER MODELLING GROUP LTD,Technology,Software—Application,Canada,456827360,197
CMMC.TO,COPPER MOUNTAIN MINING CORP,Basic Materials,Copper,Canada,616732416,
CMR.TO,error,,,,,
CMUE.TO,error,,,,,
CNE.TO,CANACOL ENERGY LTD,Energy,Oil & Gas E&P,Canada,635483136,373
CNQ.TO,CDN NATURAL RES,Energy,Oil & Gas E&P,Canada,46275219456,
