,name,sector,industry,country,mktCap,fullTimeEmployees
CHTR,"Charter Communications, Inc.",Communication Services,Entertainment,United States,135998709760,96100
CVX,Chevron Corporation,Energy,Oil & Gas Integrated,United States,207216066560,47736
CMG,"Chipotle Mexican Grill, Inc.",Consumer Cyclical,Restaurants,United States,40681734144,88000
CB,Chubb Limited,Financial Services,Insurance—Property & Casualty,Switzerland,71936950272,31000
CHD,"Church & Dwight Company, Inc.",Consumer Defensive,Household & Personal Products,United States,21408436224,5100
CI,Cigna Corporation,Healthcare,Healthcare Plans,United States,84684783616,72226
CINF,Cincinnati Financial Corporatio,Financial Services,Insurance—Property & Casualty,United States,17036422144,5266
CTAS,Cintas Corporation,Industrials,Specialty Business Services,United States,36407566336,40000
CSCO,"Cisco Systems, Inc.",Technology,Communication Equipment,United States,221939499008,77500
C,"Citigroup, Inc.",Financial Services,Banks—Diversified,United States,152370102272,210000
CFG,"Citizens Financial Group, Inc.",Financial Services,Banks—Regional,United States,19134019584,17407
CTXS,"Citrix Systems, Inc.",Technology,Software—Application,United States,16801801216,9000
CLX,Clorox Company (The),Consumer Defensive,Household & Personal Products,United States,23931738112,8800
CME,CME Group Inc.,Financial Services,Financial Data & Stock Exchanges,United States,74841636864,4370
CMS,CMS Energy Corporation,Utilities,Utilities—Regulated Electric,United States,17605298176,8148
KO,Coca-Cola Company (The),Consumer Defensive,Beverages—Non-Alcoholic,United States,228565811200,80300
CTSH,Cognizant Technology Solutions ,Technology,Information Technology Services,United States,42045853696,289500
CL,Colgate-Palmolive Company,Consumer Defensive,Household & Personal Products,United States,67140771840,34200
CMCSA,Comcast Corporation,Communication Services,Entertainment,United States,252760834048,168000
CMA,Comerica Incorporated,Financial Services,Banks—Regional,United States,9899676672,7429
CAG,"ConAgra Brands, Inc.",Consumer Defensive,Packaged Foods,United States,18810292224,16500
CXO,,,,,,
COP,ConocoPhillips,Energy,Oil & Gas E&P,United States,74564337664,9700
ED,"Consolidated Edison, Inc.",Utilities,Utilities—Regulated Electric,United States,25489672192,14071
STZ,"Constellation Brands, Inc.",Consumer Defensive,Beverages—Wineries & Distilleries,United States,45549662208,9000
COO,"The Cooper Companies, Inc.",Healthcare,Medical Instruments & Supplies,United States,18866649088,12000
CPRT,"Copart, Inc.",Industrials,Specialty Business Services,United States,25387534336,7600
GLW,Corning Incorporated,Technology,Electronic Components,United States,33389410304,50110
CTVA,"Corteva, Inc.",Basic Materials,Agricultural Inputs,United States,35648012288,21000
COST,Costco Wholesale Corporation,Consumer Defensive,Discount Stores,United States,155780825088,156000
COTY,Coty Inc.,Consumer Defensive,Household & Personal Products,United States,6732468736,18260
CCI,Crown Castle International Corp,Real Estate,REIT—Specialty,United States,74893680640,4900
CSX,CSX Corporation,Industrials,Railroads,United States,74466246656,19300
CMI,Cummins Inc.,Industrials,Specialty Industrial Machinery,United States,38748413952,57825
CVS,CVS Health Corporation,Healthcare,Healthcare Plans,United States,99610148864,213000
DHI,"D.R. Horton, Inc.",Consumer Cyclical,Residential Construction,United States,32678625280,9716
DHR,Danaher Corporation,Healthcare,Diagnostics & Research,United States,161345667072,67000
DRI,"Darden Restaurants, Inc.",Consumer Cyclical,Restaurants,United States,19416264704,177895
DVA,DaVita Inc.,Healthcare,Medical Care Facilities,United States,11841789952,67000
DE,Deere & Company,Industrials,Farm & Heavy Construction Machinery,United States,116690214912,69634
DAL,"Delta Air Lines, Inc.",Industrials,Airlines,United States,30414086144,74000
XRAY,DENTSPLY SIRONA Inc.,Healthcare,Medical Instruments & Supplies,United States,13423260672,15000
DVN,Devon Energy Corporation,Energy,Oil & Gas E&P,United States,15306294272,1400
DXCM,"DexCom, Inc.",Healthcare,Diagnostics & Research,United States,33924655104,5500
FANG,"Diamondback Energy, Inc. - Comm",Energy,Oil & Gas E&P,United States,13698739200,732
DLR,"Digital Realty Trust, Inc.",Real Estate,REIT—Office,United States,40175001600,2878
DFS,Discover Financial Services,Financial Services,Credit Services,United States,29703211008,17600
DISCA,"Discovery, Inc. - Series A",Communication Services,Entertainment,United States,18885879808,9800
DISCK,"Discovery, Inc. - Series C",Communication Services,Entertainment,United States,18339383296,9800
