,name,sector,industry,country,mktCap,fullTimeEmployees
AIY.AX,AUTHINVEST FPO,Financial Services,Asset Management,Australia,,
AIZ.AX,AIR N.Z. FPO NZX,Industrials,Airlines,New Zealand,3690087936,9988
AJC.AX,delisted,,,,,
AJJ.AX,ASIAN AMER FPO,Healthcare,Medical Care Facilities,Singapore,17387650,
AJL.AX,AJ LUCAS FPO,Basic Materials,Coking Coal,Australia,37084992,379
AJM.AX,ALTURA FPO,Basic Materials,Other Industrial Metals & Mining,Australia,209036800,
AJQ.AX,ARMOUR FPO,Energy,Oil & Gas E&P,Australia,48823684,45
AJX.AX,ALEXIUM FPO,Basic Materials,Specialty Chemicals,United States,33259148,
AJY.AX,ASAPLUS CDI 1:1,Basic Materials,Other Industrial Metals & Mining,Singapore,16320000,
AKG.AX,ACADEMIES FPO,Consumer Defensive,Education & Training Services,Australia,37008060,
AKM.AX,ASPIRE FPO,Basic Materials,Coking Coal,Australia,49240788,
AKN.AX,AUKING FPO,Basic Materials,Copper,Australia,1865168,
AKP.AX,AUDIOPIXEL FPO,Technology,Consumer Electronics,Australia,802128704,15
AL3.AX,AML3D FPO,Industrials,Metal Fabrication,Australia,46486980,
AL8.AX,ALDERAN FPO,Basic Materials,Other Industrial Metals & Mining,Australia,21451750,
ALC.AX,ALCIDION FPO,Healthcare,Health Information Services,Australia,321975552,
ALF.AX,AUST LEAD FPO,Financial Services,Asset Management,Australia,193994736,
ALG.AX,ARDENTLGLT FPO,Consumer Cyclical,Leisure,Australia,455720672,
ALI.AX,ARGO GLOBL FPO,Financial Services,Asset Management,Australia,309399360,
ALK.AX,ALKANE FPO,Basic Materials,Gold,Australia,413795360,
ALL.AX,ARISTOCRAT FPO,Communication Services,Electronic Gaming & Multimedia,Australia,22400124928,6000
ALQ.AX,ALS FPO,Industrials,Consulting Services,Australia,4771193344,15638
ALT.AX,ANALYTICA FPO,Healthcare,Medical Devices,Australia,10558830,2
ALU.AX,ALTIUM LTD FPO,Technology,Software—Application,United States,3560215552,861
ALX.AX,ATLSRTERIA FPOSFORUS,Industrials,Infrastructure Operations,Australia,5600665088,
ALY.AX,ALCHEMYRES FPO,Basic Materials,Gold,Australia,8739159,
AMA.AX,AMA GROUP FPO,Consumer Cyclical,Auto Parts,Australia,422953664,
AMB.AX,delisted,,,,,
AMC.AX,AMCOR PLC CDI 1:1,Consumer Cyclical,Packaging & Containers,Switzerland,23831623680,47000
AMD.AX,ARROW MIN FPO,Basic Materials,Other Industrial Metals & Mining,Australia,11991420,
