,name,sector,industry,country,mktCap,fullTimeEmployees
N2IU.SI,Mapletree Com Tr,Real Estate,REIT—Retail,Singapore,6997181440,
N32.SI,$ Nippecraft,Industrials,Business Equipment & Supplies,Singapore,13001727,
N33.SI,delisted,,,,,
N4E.SI,Nam Cheong,Industrials,Aerospace & Defense,Singapore,29090562,
N5YD.SI,error,,,,,
N6DD.SI,error,,,,,
N6FD.SI,delisted,,,,,
N6M.SI,error,,,,,
NC2.SI,Sri Trang Agro,Consumer Cyclical,Auto Parts,Thailand,3096922624,
NDHW.SI,error,,,,,
NEX.SI,$ Reclaims Global,Industrials,Waste Management,Singapore,28165000,141
NGOW.SI,error,,,,,
NHD.SI,$ Jubilee,Technology,Electronics & Computer Distribution,Singapore,10390917,1798
NJBW.SI,error,,,,,
NMBW.SI,error,,,,,
NO4.SI,Dyna-Mac,Industrials,Engineering & Construction,Singapore,94135320,
NPW.SI,MSC,Industrials,Metal Fabrication,Malaysia,286646464,
NR7.SI,Raffles Edu,Consumer Defensive,Education & Training Services,Singapore,193012400,
NS8U.SI,HPH Trust USD,Industrials,Integrated Freight & Logistics,Singapore,2047108608,
NYBW.SI,error,,,,,
O08.SI,Ossia Intl^,Consumer Cyclical,Apparel Retail,Singapore,27789188,
O10.SI,Far East Orchard,Real Estate,Real Estate—Development,Singapore,482196000,
O32.SI,Olam Intl,Consumer Defensive,Food Distribution,Singapore,5496466432,
O39.SI,OCBC Bank,Financial Services,Banks—Regional,Singapore,52800749568,30538
O5RU.SI,AIMS APAC Reit,Real Estate,REIT—Industrial,Singapore,932795136,23
O6Z.SI,delisted,,,,,
O87.SI,error,,,,,
O9A.SI,error,,,,,
O9E.SI,Parkson Retail^,Consumer Cyclical,Department Stores,Singapore,8759400,
O9P.SI,error,,,,,
OAJ.SI,$ FortressMinerals,Basic Materials,Steel,Malaysia,180000000,
OCCW.SI,error,,,,,
ODBU.SI,UtdHampshReitUSD,Real Estate,REIT—Industrial,Singapore,328253632,
ODYW.SI,error,,,,,
OL9S.SI,error,,,,,
OM0S.SI,error,,,,,
OMK.SI,$ Vividthree,Communication Services,Entertainment,Singapore,18370660,40
OPSW.SI,error,,,,,
OTX.SI,$ Medinex,Healthcare,Medical Care Facilities,Singapore,24929520,60
OU8.SI,Centurion,Consumer Cyclical,Lodging,Singapore,285864864,393
OV8.SI,Sheng Siong,Consumer Defensive,Grocery Stores,Singapore,2285380608,
OVQ.SI,error,,,,,
OXMU.SI,Prime US ReitUSD,Real Estate,REIT—Office,Singapore,885467392,
OYY.SI,PropNex,Real Estate,Real Estate Services,Singapore,360750016,
P11.SI,error,,,,,
P15.SI,Pacific Century,Financial Services,Asset Management,Singapore,966574784,
P34.SI,Delfi,Consumer Defensive,Confectioners,Singapore,479758240,
P36.SI,Pan Hong,Real Estate,Real Estate—Development,Hong Kong,75822032,
P40U.SI,StarhillGbl Reit,Real Estate,REIT—Retail,Singapore,1200956544,30
P52.SI,PanUnited,Basic Materials,Building Materials,Singapore,206987920,
P58.SI,error,,,,,
P5P.SI,error,,,,,
P60.SI,error,,,,,
P74.SI,ChinaKangdaFood,Consumer Defensive,Packaged Foods,China,28519470,3064
P7VU.SI,HPH Trust SGD,,,Singapore,2770918400,
P8A.SI,Cordlife,Healthcare,Diagnostics & Research,Singapore,95468624,
P8Z.SI,Bumitama Agri,Consumer Defensive,Farm Products,Indonesia,823716480,
P9D.SI,Civmec,Industrials,Engineering & Construction,Australia,280607584,
PA3.SI,TA,Industrials,Engineering & Construction,Singapore,48180324,
PBSW.SI,error,,,,,
PDGW.SI,error,,,,,
PH0.SI,$ Hatten Land,Real Estate,Real Estate—Development,Malaysia,68592312,121
PH1S.SI,error,,,,,
