,Daily Sharpe - 5d,Annual Sharpe - 5d,Return over 5d (%),Avg volume (5d)
0094.HK,-0.4516007328948414,-7.1689393868055395,-0.13333333333333328,236800.0
0095.HK,-0.7972203099959962,-12.655480082275359,-0.030434782608695584,4544000.0
0096.HK,-inf,-inf,0.0,18800.0
0097.HK,-0.5004190476190477,-7.943906107918735,-0.02272727272727275,849800.0
0098.HK,-0.19700864165256968,-3.1274152316600423,-0.032679738562091505,68080.0
0099.HK,-0.7193624812960647,-11.419525368118443,-0.07352941176470594,11000.0
0100.HK,-inf,-inf,0.0,0.0
0101.HK,-1.4189879658650844,-22.525735626434543,-0.0383064516129033,5605414.6
0102.HK,0.00977638660527908,0.15519532607034858,0.0,3892400.0
0103.HK,-inf,-inf,0.0,900000.0
0104.HK,-0.5000571428571429,-7.938161047928994,-0.16666666666666663,67000.0
0105.HK,-inf,-inf,0.0,0.0
0106.HK,0.22922519375047581,3.638837141366137,0.03636363636363619,661800.0
0107.HK,-0.5003657142857143,-7.943059467499194,-0.026041666666666574,1354400.0
0108.HK,-0.1253410867879845,-1.9897280681974239,-0.011627906976744196,635200.0
0109.HK,-inf,-inf,0.0,0.0
0110.HK,1.2423522832076002,19.721731092603576,0.08000000000000007,593425.0
0111.HK,0.13418753184735457,2.1301610298819593,0.02040816326530614,639200.0
0112.HK,-inf,-inf,0.0,0.0
0113.HK,-0.6324605786401014,-10.040000430802309,-0.019230769230769246,96100.0
0114.HK,-0.5002380952380953,-7.941033577923864,-0.040000000000000036,28000.0
0115.HK,-inf,-inf,0.0,5000.0
0116.HK,-0.03518332686493567,-0.5585179990831055,-0.003816793893129859,938632.6
0117.HK,-0.70379201886253,-11.172351939734003,-0.07843137254901968,15200.0
0118.HK,0.2682256202140712,4.2579497180549515,0.01960784313725492,77200.0
0119.HK,0.002840988276062749,0.045099290736672897,0.0,10911131.0
0120.HK,0.06883574073322815,1.0927335077582438,0.008000000000000007,932000.0
0122.HK,-0.5003619047619048,-7.9429989931835125,-0.026315789473684233,469400.0
