,Daily Sharpe - 1d,Annual Sharpe - 1d,Return over 1d (%),Avg volume (1d)
PLD,,,,1526654.0
PRU,,,,1467784.0
PEG,,,,759540.0
PSA,,,,277618.0
PHM,,,,1590467.0
PVH,,,,408289.0
QRVO,,,,571633.0
PWR,,,,609922.0
QCOM,,,,4906119.0
DGX,,,,579054.0
RL,,,,969885.0
RJF,,,,328079.0
RTX,,,,3985806.0
O,,,,2203886.0
REG,,,,590939.0
REGN,,,,484440.0
RF,,,,7359827.0
RSG,,,,439154.0
RMD,,,,615306.0
RHI,,,,726193.0
ROK,,,,266118.0
ROL,,,,741227.0
ROP,,,,329387.0
ROST,,,,1543588.0
RCL,,,,6405983.0
SPGI,,,,952494.0
CRM,,,,4231748.0
SBAC,,,,361498.0
SLB,,,,5344403.0
STX,,,,1696824.0
SEE,,,,766175.0
SRE,,,,1347810.0
NOW,,,,675961.0
SHW,,,,176307.0
SPG,,,,2725225.0
SWKS,,,,1163084.0
SLG,,,,769023.0
SNA,,,,261556.0
SO,,,,1982414.0
LUV,,,,8643276.0
SWK,,,,395293.0
SBUX,,,,4476744.0
STT,,,,957239.0
STE,,,,400063.0
SYK,,,,459740.0
SIVB,,,,395821.0
SYF,,,,4025821.0
SNPS,,,,616124.0
SYY,,,,1111485.0
TMUS,,,,3576206.0
TROW,,,,637937.0
TTWO,,,,527012.0
TPR,,,,3159815.0
TGT,,,,2059565.0
TEL,,,,951705.0
FTI,,,,4272463.0
TDY,,,,153771.0
TFX,,,,162441.0
TXN,,,,1998427.0
TXT,,,,680521.0
TMO,,,,1055579.0
TIF,,,,
TJX,,,,3075860.0
TSCO,,,,472476.0
TT,,,,649593.0
TDG,,,,146824.0
TRV,,,,512907.0
TFC,,,,3352923.0
TWTR,,,,11392222.0
TYL,,,,212508.0
TSN,,,,1414657.0
UDR,,,,1176972.0
ULTA,,,,896272.0
USB,,,,3977017.0
UAA,,,,4075194.0
UA,,,,3682479.0
UNP,,,,1703267.0
UAL,,,,29735368.0
UNH,,,,1249757.0
UPS,,,,3352355.0
URI,,,,334063.0
UHS,,,,188757.0
UNM,,,,1741769.0
VFC,,,,2326644.0
VLO,,,,2133771.0
VAR,,,,401993.0
VTR,,,,1453698.0
VRSN,,,,264482.0
VRSK,,,,433476.0
VZ,,,,13759249.0
VRTX,,,,871917.0
VIAC,,,,24971650.0
