,Daily Sharpe - 1y,Annual Sharpe - 1y,Return over 1y (%),Avg volume (1y)
AGD.AX,0.08952492551573313,1.4211641343372645,2.166666666666667,298240.4117647059
AAC.AX,0.024961862817756662,0.3962572876601649,0.08256880733944941,592949.8666666667
AAP.AX,0.07395764397587276,1.1740412010744816,1.9999999999999996,31498.62598425197
ABX.AX,0.020213592171542817,0.32088082793510614,-0.09090909090909087,62526.47843137255
AHF.AX,0.02145168752568961,0.3405349823738473,-0.10000000000000009,418995.14901960787
AEF.AX,0.04822311538728345,0.7655182245571454,0.3527777777777778,414837.9960784314
AFG.AX,0.020478920227983095,0.32509278025424065,-0.027343749999999938,1238957.5843137256
AFI.AX,0.02682921055169089,0.42590051395178474,0.08494783904619975,454342.9882352941
AGM.AX,-0.010756103053864399,-0.17074784254024547,-0.18592964824120597,15338.09561752988
ABA.AX,0.023032295053683243,0.36562634901065355,0.06902654867256632,24340.439215686274
AEV.AX,,,1.0,1084313.431372549
A200.AX,0.005081087713485994,0.08065976687753851,-0.016082000530175906,49433.725099601594
AGVT.AX,0.03115821430007366,0.4946213180091082,0.036542239685658146,6544.266932270916
AAA.AX,-0.029961977526477276,-0.47563164793659035,-0.0003991219317500703,240850.9721115538
ACDC.AX,0.11584478520628408,1.838978954037132,0.558531746031746,2750.2470119521913
4CE.AX,0.06220628895899534,0.9874942234183481,1.0,506171.16078431375
360.AX,0.04920280028656259,0.7810702401973332,0.3466666666666667,304860.91764705884
1AL.AX,-0.07451786194897397,-1.1829343856953685,-0.7674418604651162,3753.271739130435
3DP.AX,0.11731980637584581,1.862394189196428,6.142857142857142,2706829.074509804
A2M.AX,0.007621282201507471,0.12098410425978974,-0.021443888491779892,3794380.6156862746
